Iteration Per Action,Score,Chosen element number,Percentile
4,2840,4,90
4,1032,4,90
4,3040,4,90
4,2156,4,90
4,5296,4,90
4,484,4,90
4,1208,4,90
4,700,4,90
4,4868,4,90
4,5256,4,90
4,848,4,90
4,1252,4,90
4,568,4,90
4,888,4,90
4,1336,4,90
4,780,4,90
4,1324,4,90
4,2496,4,90
4,5236,4,90
4,1304,4,90
4,408,4,90
4,4472,4,90
4,2924,4,90
4,212,4,90
4,4500,4,90
4,1456,4,90
4,1532,4,90
4,5724,4,90
4,1192,4,90
4,2316,4,90
4,512,4,90
4,1788,4,90
4,1248,4,90
4,3172,4,90
4,4272,4,90
4,2788,4,90
4,1620,4,90
4,1952,4,90
4,1248,4,90
4,848,4,90
4,4576,4,90
4,2284,4,90
4,1148,4,90
4,1772,4,90
4,2520,4,90
4,1908,4,90
4,348,4,90
4,2224,4,90
4,996,4,90
4,1252,4,90
4,4208,4,90
4,1428,4,90
4,2932,4,90
4,2688,4,90
4,5900,4,90
4,2120,4,90
4,2680,4,90
4,4852,4,90
4,4612,4,90
4,564,4,90
4,1368,4,90
4,4976,4,90
4,632,4,90
4,5016,4,90
4,1100,4,90
4,1204,4,90
4,1596,4,90
4,492,4,90
4,2872,4,90
4,3672,4,90
4,2972,4,90
4,1116,4,100
4,2160,4,100
4,2612,4,100
4,1312,4,100
8,1152,0,0
8,2592,0,0
8,2752,0,0
8,5240,0,0
8,2784,0,0
8,4836,0,0
8,5976,0,0
8,6464,0,0
8,2612,0,0
8,2820,0,0
8,7092,0,0
8,4896,0,0
8,6480,0,0
8,11448,0,0
8,892,0,0
8,6464,0,0
8,6532,0,0
8,11148,0,0
8,4904,0,0
8,6280,0,0
8,6504,0,0
8,1128,0,0
8,12848,0,0
8,1124,0,0
8,6440,0,0
8,12804,0,0
8,1140,0,0
8,3056,0,0
8,13640,0,0
8,2600,0,0
8,4888,0,0
8,5016,0,0
8,6480,0,0
8,2704,0,0
8,6452,0,0
8,11372,0,0
8,2652,0,0
8,5096,0,0
8,3428,0,0
8,6272,0,0
8,1176,0,0
8,2772,0,0
8,11816,0,0
8,5812,0,0
8,10368,0,0
8,4260,0,0
8,6680,0,0
8,2104,0,0
8,2832,0,0
8,4852,0,0
8,6680,0,0
8,2808,0,0
8,2564,0,0
8,6008,0,0
8,12868,0,0
8,11352,0,0
8,6544,0,0
8,2968,0,0
8,6616,0,0
8,6012,0,0
8,3000,0,0
8,5032,0,0
8,1168,0,0
8,1360,0,0
8,6672,0,0
8,4524,0,0
8,4884,0,0
8,2748,0,0
8,6284,0,0
8,6684,0,0
8,2840,0,0
8,2844,0,0
8,5844,0,0
8,14644,0,0
8,2276,0,0
8,11472,0,0
8,6448,0,0
8,2632,0,0
8,13280,0,0
8,14532,0,0
8,6548,0,0
8,2756,0,0
8,2152,0,0
8,6596,0,0
8,13472,0,0
8,2088,0,0
8,2572,0,0
8,6336,0,0
8,2956,0,0
8,6856,2,10
8,3104,2,10
8,11288,0,0
8,2860,2,10
8,6576,2,10
8,5016,2,10
8,13208,2,10
8,6648,2,10
8,4736,2,10
8,11472,2,10
8,1312,2,10
8,6332,2,10
8,6668,2,10
8,5044,2,10
8,2496,2,10
8,6588,2,10
8,10720,2,10
8,6096,2,10
8,2772,2,10
8,3208,2,10
8,6740,2,10
8,6064,2,10
8,6076,2,10
8,1272,2,10
8,5872,2,10
8,6572,2,10
8,10552,2,10
8,14948,2,10
8,2960,2,10
8,5048,2,10
8,11160,2,10
8,7668,2,10
8,2900,2,10
8,5096,2,10
8,6152,2,10
8,10620,2,10
8,6604,2,10
8,11152,2,10
8,5036,2,10
