Iteration Per Action,Score,Chosen element number,Percentile
32,15288,17,50
32,13584,17,50
32,7000,17,50
32,13872,17,50
32,15756,17,50
32,11296,17,50
32,14904,17,50
32,14348,17,50
32,14460,17,50
32,13212,17,50
32,13628,17,50
32,6856,17,50
32,13236,17,50
32,13108,17,50
32,10088,17,50
32,15448,17,50
32,2124,17,50
32,11472,17,50
32,14860,17,50
32,13624,17,50
32,15112,17,50
32,11412,17,50
32,6728,17,50
32,11568,17,50
32,6748,17,50
32,25824,17,50
32,11520,17,50
32,6608,17,50
32,9744,17,50
32,6568,17,50
32,5876,17,50
32,9560,17,50
32,14676,17,50
32,6628,17,50
32,20564,17,50
32,15072,17,50
32,14892,17,50
32,14056,17,50
32,6260,17,50
32,13620,17,50
32,11772,17,50
32,25892,17,50
32,13688,17,50
32,15496,17,50
32,14804,17,50
32,14316,17,50
32,6656,17,50
32,14672,17,50
32,6588,17,50
32,6676,17,50
32,13856,17,50
32,10072,17,50
32,11424,17,50
32,6548,17,50
32,11352,17,50
32,14164,17,50
32,11380,17,50
32,21740,17,50
32,15160,17,50
32,11268,17,50
32,24924,17,50
32,4652,17,50
32,5256,17,50
32,26104,17,50
32,6300,17,50
32,13508,17,50
32,6696,17,50
32,24332,17,50
32,13144,17,50
32,11360,17,50
32,10788,17,50
32,23908,17,50
32,9764,17,50
32,25520,17,50
32,15056,17,50
32,14952,17,50
32,6544,17,50
32,11792,17,50
32,15120,17,50
32,6412,17,50
32,6744,17,50
32,21960,17,50
32,6684,17,50
32,14536,17,50
32,6260,17,50
32,6660,17,50
32,11572,17,50
32,13592,17,50
32,7220,17,50
32,13612,17,50
32,11636,17,50
32,6520,17,50
32,11460,17,50
32,6400,17,50
32,6444,20,60
32,11480,20,60
32,14448,20,60
32,15284,20,60
32,4076,20,60
32,14348,20,60
32,15232,20,60
32,6472,20,60
32,6636,20,60
32,12136,20,60
32,13856,20,60
32,15000,20,60
32,25744,20,60
32,15312,20,60
32,6680,20,60
32,14832,20,60
32,11332,20,60
32,6048,20,60
32,26212,20,60
32,11616,20,60
32,10644,20,60
32,13532,20,60
32,15016,20,60
32,13476,20,60
32,9892,20,60
32,11156,20,60
32,24996,20,60
32,14248,20,60
32,13724,20,60
32,14640,20,60
32,15032,20,60
32,6628,20,60
32,5996,20,60
32,6648,20,60
32,6672,20,60
32,14440,20,60
32,13660,20,60
32,21984,20,60
32,14936,20,60
32,14236,20,60
32,6828,20,60
32,13952,20,60
32,14736,20,60
32,6644,20,60
32,6568,20,60
32,5032,20,60
32,11368,20,60
32,14768,20,60
32,11576,20,60
32,11300,20,60
32,11400,20,60
32,920,20,60
32,11256,20,60
32,11316,20,60
32,15108,20,60
32,6556,20,60
32,25508,20,60
32,5628,20,60
32,5172,20,60
32,15344,20,60
32,14672,20,60
32,24940,20,60
32,15196,20,60
32,15616,20,60
32,5056,20,60
32,24192,20,60
32,6248,20,60
32,10808,20,60
32,6152,20,60
32,6784,20,60
